state,trump_percent
Alabama,62.1
Alaska,51.3
Arizona,48.7
Arkansas,60.6
California,31.6
Colorado,43.3
Connecticut,40.9
Delaware,41.9
District of Columbia,4.1
Florida,49
Georgia,51
Hawaii,30
Idaho,59.3
Illinois,38.8
Indiana,56.9
Iowa,51.1
Kansas,56.7
Kentucky,62.5
Louisiana,58.1
Maine,44.9
Maryland,33.9
Massachusetts,32.8
Michigan,47.5
Minnesota,44.9
Mississippi,57.9
Missouri,56.8
Montana,56.2
Nebraska,58.7
Nevada,45.5
New Hampshire,46.5
New Jersey,41.4
New Mexico,40
New York,36.5
North Carolina,49.8
North Dakota,63
Ohio,51.7
Oklahoma,65.3
Oregon,39.1
Pennsylvania,48.6
Rhode Island,38.9
South Carolina,54.9
South Dakota,61.5
Tennessee,60.7
Texas,52.2
Utah,45.5
Vermont,30.3
Virginia,44.4
Washington,36.3
West Virginia,68.6
Wisconsin,47.2
Wyoming,68.2